states,scores
000100000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
020110000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221110000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221110021000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221110021000002000000100000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221110121000002000000100000020000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
010000000000000000000000000000000000000000,"[0.027679, 0, 0, 0, 0, 0, 0]"
211000000000000000000000000000000000000000,"[0.023215, 0, 0, 0, 0, 0, 0]"
211001020000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211101020000002000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
211101120200002000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
211101122200012000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000010000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
200011000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
200211000000100000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201211020000100000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201211020000102000000100000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201211020010102000000100000020000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
021010000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221010000100000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221010120100000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221010120102000000100000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221110120102000020100000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
221110120102002020100000010000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221110122102002020100001010000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000101000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210101000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211101020020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211101021020002000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
211101121020202000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000001000000000000000000000000000000000000,"[0.028088, 0, 0, 0, 0, 0, 0]"
201001000000000000000000000000000000000000,"[0.017262, 0, 0, 0, 0, 0, 0]"
201001120000000000000000000000000000000000,"[0.017857, 0, 0, 0, 0, 0, 0]"
201011120000002000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
