states,scores
000100000000000000000000000000000000000000,"[0.1728, 0, 0, 0, 0, 0, 0]"
000000000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
001200000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
101200000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101202010020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101202010220001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
102000000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102200010000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
122200010000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
100020000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
100022000001000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
112022000001000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
112022012001000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
112022012001001000000200000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
112022012201001000000200000010000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
011200000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
111200000220000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
111200010220000002000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
111220010220001002000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
020001000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
020001002000100000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
120201002000100000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
120201012020100000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
120211012022100000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
120211012022100102000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
120211012022101102020000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
100002000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100202010000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100222010000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
