states,scores
000100000000000000000000000000000000000000,"[0.1728, 0, 0, 0, 0, 0, 0]"
000000000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
000002100000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100202100000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
120202110000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
122202110000001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122212112000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
100200000000000000000000000000000000000000,"[0.026191, 0, 0, 0, 0, 0, 0]"
100202010000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
110202010020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
110202010020201000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000100000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100000020000002000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100010020002002000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100010020002002000100200000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100210020002002000100200010000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
102200010000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122200010000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
002001000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
002101000200000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102101000220000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102101010220000020000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102101010220001022000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
102121010220001022000001000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
112121010220201022000001000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
102200210000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
