states,scores
000100000000000000000000000000000000000000,"[0.1728, 0, 0, 0, 0, 0, 0]"
000000000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
001200000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
001202000010000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
001212000012000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101212000012000002000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101212010012200002000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101212010012201002200000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
101212010012201002210000020000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
100020000000000000000000000000000000000000,"[0.230179, 0, 0, 0, 0, 0, 0]"
102020010000000000000000000000000000000000,"[0.242857, 0, 0, 0, 0, 0, 0]"
102021010002000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102021010202001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122021010202001010000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122021012202001010100000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
102000000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102002010000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102022010000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
100022010000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
120022010000001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122022010000101000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
112022010000001000000200000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
112022010100001020000200000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
112022010100001020000201000000200000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
112022010100201020000201000010200000000000,"[-1, 0, 0, 0, 0, 0, 0]"
000020100000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102020100000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
122020110000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
122022110000001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000210000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100210000020000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100210010022000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100210010022001002000000000000000000000000,"[0, -1, 0, 0, 0, 0, 0]"
100000200000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
100001200000020000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100201210000020000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
100211210000020000002000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
100200000000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
100202000010000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
102202010010000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
122202010010001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
122202011210001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000100200000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100200000020000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100210020020000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
100100210020021000002000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
010020000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
110020000002000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
110220010002000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
112220010002001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
112220211002001000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
